timestamp,total_carparks,total_lots,lots_available,avg_lots_available
2024-01-01T00:00:00+08:00,2329,726864,371138,159.3550880206097
2024-01-01T01:00:00+08:00,2329,728168,358105,153.75912408759123
2024-01-01T02:00:00+08:00,2329,727708,350269,150.39458995276942
2024-01-01T03:00:00+08:00,2329,728182,345372,148.2919708029197
2024-01-01T04:00:00+08:00,2329,727672,342131,146.90038643194504
2024-01-01T05:00:00+08:00,2329,728134,342114,146.89308716187205
2024-01-01T06:00:00+08:00,2329,728138,344978,148.1227994847574
2024-01-01T07:00:00+08:00,2329,728460,349820,150.20180334907687
2024-01-01T08:00:00+08:00,2329,728140,355085,152.46243022756548
2024-01-01T09:00:00+08:00,2329,728140,364353,156.44182052382996
2024-01-01T10:00:00+08:00,2329,727656,374634,160.85616144267925
2024-01-01T11:00:00+08:00,2329,728119,385985,165.72992700729927
2024-01-01T12:00:00+08:00,2329,728107,390390,167.62129669386002
2024-01-01T13:00:00+08:00,2329,727639,392215,168.4048948046372
2024-01-01T14:00:00+08:00,2329,728182,392567,168.5560326320309
2024-01-01T15:00:00+08:00,2329,728107,391565,168.12580506655218
2024-01-01T16:00:00+08:00,2329,728140,389303,167.1545727780163
2024-01-01T17:00:00+08:00,2329,727639,389344,167.17217689995707
2024-01-01T18:00:00+08:00,2329,727672,387271,166.28209531987977
2024-01-01T19:00:00+08:00,2329,728128,381473,163.79261485616144
2024-01-01T20:00:00+08:00,2329,727672,371258,159.40661227994846
2024-01-01T21:00:00+08:00,2329,727672,360285,154.6951481322456
2024-01-01T22:00:00+08:00,2329,728140,350294,150.405324173465
2024-01-02T00:00:00+08:00,2329,727666,338722,145.4366680978961
2024-01-02T01:00:00+08:00,2329,727672,335356,143.99141262344355
2024-01-02T02:00:00+08:00,2329,728136,334520,143.63246028338344
2024-01-02T03:00:00+08:00,2329,727670,333840,143.34048948046373
2024-01-02T04:00:00+08:00,2329,728138,335979,144.25890940317734
2024-01-02T05:00:00+08:00,2329,728289,342517,147.06612279948476
2024-01-02T06:00:00+08:00,2329,728565,381733,163.90425075139544
2024-01-02T07:00:00+08:00,2329,728182,423992,182.04894804637183
2024-01-02T08:00:00+08:00,2329,728124,462322,198.50665521683126
2024-01-02T09:00:00+08:00,2329,728107,474217,203.61399742378703
2024-01-02T10:00:00+08:00,2329,727672,479921,206.06311721769
2024-01-02T11:00:00+08:00,2329,728140,480120,206.1485616144268
2024-01-02T12:00:00+08:00,2329,728140,476714,204.68613138686132
2024-01-02T13:00:00+08:00,2329,727672,484020,207.8231000429369
2024-01-02T14:00:00+08:00,2329,728140,485024,208.25418634607126
